experiment,dataset,kernel,C,gamma,degree,test_accuracy,training_time_ms,n_support_vectors
FashionMNIST_SVM_poly_C10_gammascale_deg2,FashionMNIST,poly,10.0,scale,2.0,90.21000000000001,252635.7913017273,19113
FashionMNIST_SVM_poly_C10_gammascale_deg3,FashionMNIST,poly,10.0,scale,3.0,90.19,284770.92695236206,20043
FashionMNIST_SVM_poly_C10_gammascale_deg4,FashionMNIST,poly,10.0,scale,4.0,89.32,372995.88203430176,21844
FashionMNIST_SVM_poly_C10_gammaauto_deg2,FashionMNIST,poly,10.0,auto,2.0,90.21000000000001,251720.5204963684,19114
FashionMNIST_SVM_poly_C10_gammaauto_deg3,FashionMNIST,poly,10.0,auto,3.0,90.19,283098.153591156,20044
FashionMNIST_SVM_poly_C10_gammaauto_deg4,FashionMNIST,poly,10.0,auto,4.0,89.32,371571.031332016,21844
FashionMNIST_SVM_poly_C10_gamma0.001_deg2,FashionMNIST,poly,10.0,0.001,2.0,90.07,255732.35702514648,19414
FashionMNIST_SVM_poly_C10_gamma0.001_deg3,FashionMNIST,poly,10.0,0.001,3.0,89.97,291784.53493118286,20458
FashionMNIST_SVM_poly_C10_gamma0.001_deg4,FashionMNIST,poly,10.0,0.001,4.0,88.22,406621.9141483307,22726
FashionMNIST_SVM_poly_C10_gamma0.01_deg2,FashionMNIST,poly,10.0,0.01,2.0,89.25,257066.00213050842,18819
FashionMNIST_SVM_poly_C10_gamma0.01_deg3,FashionMNIST,poly,10.0,0.01,3.0,89.98,280376.6713142395,20071
FashionMNIST_SVM_poly_C10_gamma0.01_deg4,FashionMNIST,poly,10.0,0.01,4.0,89.71000000000001,348555.58609962463,21070
FashionMNIST_SVM_rbf_C0.1_gammascale,FashionMNIST,rbf,0.1,scale,,85.38,452254.3075084686,28312
FashionMNIST_SVM_rbf_C0.1_gammaauto,FashionMNIST,rbf,0.1,auto,,85.38,453349.95913505554,28312
FashionMNIST_SVM_rbf_C0.1_gamma0.001,FashionMNIST,rbf,0.1,0.001,,85.18,442199.1946697235,28544
FashionMNIST_SVM_rbf_C0.1_gamma0.01,FashionMNIST,rbf,0.1,0.01,,66.02,1732800.0156879425,44877
FashionMNIST_SVM_rbf_C1_gammascale,FashionMNIST,rbf,1.0,scale,,89.25999999999999,285977.6029586792,21641
FashionMNIST_SVM_rbf_C1_gammaauto,FashionMNIST,rbf,1.0,auto,,89.27000000000001,285379.362821579,21640
FashionMNIST_SVM_rbf_C1_gamma0.001,FashionMNIST,rbf,1.0,0.001,,89.02,269671.43177986145,21572
FashionMNIST_SVM_rbf_C1_gamma0.01,FashionMNIST,rbf,1.0,0.01,,80.5,1480725.0893115997,38358
FashionMNIST_SVM_rbf_C10_gammascale,FashionMNIST,rbf,10.0,scale,,90.31,272679.5291900635,20780
FashionMNIST_SVM_rbf_C10_gammaauto,FashionMNIST,rbf,10.0,auto,,90.31,272804.01945114136,20782
FashionMNIST_SVM_rbf_C10_gamma0.001,FashionMNIST,rbf,10.0,0.001,,90.18,247542.41228103638,19960
FashionMNIST_SVM_rbf_C10_gamma0.01,FashionMNIST,rbf,10.0,0.01,,81.85,1605553.2174110413,39661
