experiment,dataset,pca_components,variance_retained,kernel,C,gamma,degree,test_accuracy,training_time_ms,n_support_vectors
MNIST_PCA100_poly_C1_gauto_d3,MNIST,100,70.32647,poly,1.0,auto,3.0,97.49,23348.1125831604,9730
MNIST_PCA100_poly_C1_gauto_d4,MNIST,100,70.32647,poly,1.0,auto,4.0,96.77,37655.03287315369,11524
MNIST_PCA100_poly_C1_g0.001_d2,MNIST,100,70.32647,poly,1.0,0.001,2.0,96.3,61622.51138687134,19398
MNIST_PCA100_poly_C1_g0.001_d3,MNIST,100,70.32647,poly,1.0,0.001,3.0,92.86999999999999,185928.5957813263,29069
MNIST_PCA100_poly_C1_g0.001_d4,MNIST,100,70.32647,poly,1.0,0.001,4.0,74.91,439483.40702056885,42906
MNIST_PCA100_poly_C1_g0.01_d2,MNIST,100,70.32647,poly,1.0,0.01,2.0,97.46000000000001,31734.466791152954,8359
MNIST_PCA100_poly_C1_g0.01_d3,MNIST,100,70.32647,poly,1.0,0.01,3.0,97.49,43163.670778274536,9730
MNIST_PCA100_poly_C1_g0.01_d4,MNIST,100,70.32647,poly,1.0,0.01,4.0,96.77,60812.942028045654,11524
MNIST_PCA100_poly_C10_gscale_d2,MNIST,100,70.32647,poly,10.0,scale,2.0,97.6,36371.39558792114,8899
MNIST_PCA100_poly_C10_gscale_d3,MNIST,100,70.32647,poly,10.0,scale,3.0,97.72999999999999,33186.73634529114,10692
MNIST_PCA100_poly_C10_gscale_d4,MNIST,100,70.32647,poly,10.0,scale,4.0,96.47,70467.12279319763,13795
MNIST_PCA100_poly_C10_gauto_d2,MNIST,100,70.32647,poly,10.0,auto,2.0,97.27,24528.386116027832,8022
MNIST_PCA100_poly_C10_gauto_d3,MNIST,100,70.32647,poly,10.0,auto,3.0,97.41,30785.892009735107,9733
MNIST_PCA100_poly_C10_gauto_d4,MNIST,100,70.32647,poly,10.0,auto,4.0,96.78,44969.52438354492,11529
MNIST_PCA100_poly_C10_g0.001_d2,MNIST,100,70.32647,poly,10.0,0.001,2.0,97.53,31230.939388275146,10901
MNIST_PCA100_poly_C10_g0.001_d3,MNIST,100,70.32647,poly,10.0,0.001,3.0,96.81,60630.49530982971,15287
MNIST_PCA100_poly_C10_g0.001_d4,MNIST,100,70.32647,poly,10.0,0.001,4.0,91.96,130827.36349105835,25424
MNIST_PCA100_poly_C10_g0.01_d2,MNIST,100,70.32647,poly,10.0,0.01,2.0,97.27,22263.282299041748,8022
MNIST_PCA100_poly_C10_g0.01_d3,MNIST,100,70.32647,poly,10.0,0.01,3.0,97.41,32106.622219085693,9733
