experiment,dataset,model,batch_size,optimizer,learning_rate,pin_memory,epochs,test_acc,best_val_acc,final_train_acc,training_time_sec
FashionMNIST_ResNet-18_BS16_SGD_LR0.001_PMFalse_EP5,FashionMNIST,ResNet-18,16,SGD,0.001,False,5,90.88571428571429,90.81428571428572,89.77551020408163,271.68701219558716
FashionMNIST_ResNet-18_BS16_SGD_LR0.001_PMTrue_EP2,FashionMNIST,ResNet-18,16,SGD,0.001,True,2,84.51428571428572,84.02857142857142,84.45102040816326,97.3718900680542
FashionMNIST_ResNet-18_BS16_SGD_LR0.001_PMTrue_EP5,FashionMNIST,ResNet-18,16,SGD,0.001,True,5,91.07857142857142,90.9,89.66530612244898,235.04566979408264
FashionMNIST_ResNet-18_BS16_SGD_LR0.0001_PMFalse_EP2,FashionMNIST,ResNet-18,16,SGD,0.0001,False,2,76.92142857142858,76.98571428571428,72.64489795918368,113.44296765327454
FashionMNIST_ResNet-18_BS16_SGD_LR0.0001_PMFalse_EP5,FashionMNIST,ResNet-18,16,SGD,0.0001,False,5,82.49285714285715,82.64285714285714,81.23469387755102,272.3234124183655
FashionMNIST_ResNet-18_BS16_SGD_LR0.0001_PMTrue_EP2,FashionMNIST,ResNet-18,16,SGD,0.0001,True,2,76.18571428571428,75.88571428571429,72.48775510204082,97.01622748374939
FashionMNIST_ResNet-18_BS16_SGD_LR0.0001_PMTrue_EP5,FashionMNIST,ResNet-18,16,SGD,0.0001,True,5,82.73571428571428,82.72857142857143,81.43469387755103,233.74441266059875
FashionMNIST_ResNet-18_BS16_Adam_LR0.001_PMFalse_EP2,FashionMNIST,ResNet-18,16,Adam,0.001,False,2,83.63571428571429,83.22857142857143,84.20204081632653,117.86225438117981
FashionMNIST_ResNet-18_BS16_Adam_LR0.001_PMFalse_EP5,FashionMNIST,ResNet-18,16,Adam,0.001,False,5,90.30714285714286,89.61428571428571,88.85714285714286,287.7898361682892
FashionMNIST_ResNet-18_BS16_Adam_LR0.001_PMTrue_EP2,FashionMNIST,ResNet-18,16,Adam,0.001,True,2,83.82857142857142,83.21428571428571,84.08775510204082,102.27404141426086
FashionMNIST_ResNet-18_BS16_Adam_LR0.001_PMTrue_EP5,FashionMNIST,ResNet-18,16,Adam,0.001,True,5,89.82142857142857,89.8,88.86326530612244,246.18241834640503
FashionMNIST_ResNet-18_BS16_Adam_LR0.0001_PMFalse_EP2,FashionMNIST,ResNet-18,16,Adam,0.0001,False,2,87.42142857142858,86.78571428571429,87.58367346938776,118.73279023170471
FashionMNIST_ResNet-18_BS16_Adam_LR0.0001_PMFalse_EP5,FashionMNIST,ResNet-18,16,Adam,0.0001,False,5,92.00714285714285,91.61428571428571,91.12244897959184,287.5549020767212
FashionMNIST_ResNet-18_BS16_Adam_LR0.0001_PMTrue_EP2,FashionMNIST,ResNet-18,16,Adam,0.0001,True,2,86.82142857142857,86.5,87.58571428571429,101.70539093017578
FashionMNIST_ResNet-18_BS16_Adam_LR0.0001_PMTrue_EP5,FashionMNIST,ResNet-18,16,Adam,0.0001,True,5,91.97142857142858,91.72857142857143,91.16530612244898,246.96701765060425
FashionMNIST_ResNet-18_BS32_SGD_LR0.001_PMFalse_EP2,FashionMNIST,ResNet-18,32,SGD,0.001,False,2,83.4,83.15714285714286,83.36530612244898,90.51865601539612
FashionMNIST_ResNet-18_BS32_SGD_LR0.001_PMFalse_EP5,FashionMNIST,ResNet-18,32,SGD,0.001,False,5,89.85,89.8,88.55918367346939,217.38633275032043
FashionMNIST_ResNet-18_BS32_SGD_LR0.001_PMTrue_EP2,FashionMNIST,ResNet-18,32,SGD,0.001,True,2,82.75714285714285,82.34285714285714,83.39387755102041,73.06147646903992
FashionMNIST_ResNet-18_BS32_SGD_LR0.001_PMTrue_EP5,FashionMNIST,ResNet-18,32,SGD,0.001,True,5,89.89285714285714,89.74285714285715,89.04285714285714,175.84775185585022
FashionMNIST_ResNet-18_BS32_SGD_LR0.0001_PMFalse_EP2,FashionMNIST,ResNet-18,32,SGD,0.0001,False,2,69.49285714285715,69.72857142857143,68.8,91.33501815795898
FashionMNIST_ResNet-18_BS32_SGD_LR0.0001_PMFalse_EP5,FashionMNIST,ResNet-18,32,SGD,0.0001,False,5,76.71428571428571,76.5,77.36938775510204,215.58726334571838
FashionMNIST_ResNet-18_BS32_SGD_LR0.0001_PMTrue_EP2,FashionMNIST,ResNet-18,32,SGD,0.0001,True,2,69.83571428571429,69.71428571428571,69.2408163265306,73.08550381660461
FashionMNIST_ResNet-18_BS32_SGD_LR0.0001_PMTrue_EP5,FashionMNIST,ResNet-18,32,SGD,0.0001,True,5,75.11428571428571,74.98571428571428,77.37755102040816,172.95678782463074
FashionMNIST_ResNet-18_BS32_Adam_LR0.001_PMFalse_EP2,FashionMNIST,ResNet-18,32,Adam,0.001,False,2,81.99285714285715,81.41428571428571,85.28979591836735,91.93817162513733
FashionMNIST_ResNet-18_BS32_Adam_LR0.001_PMFalse_EP5,FashionMNIST,ResNet-18,32,Adam,0.001,False,5,89.63571428571429,89.3,89.07142857142857,220.42599487304688
